Name,Rating,Year
Sleepless,10.0,(II) (2022)
Sleepless Night,10.0,(2022)
Who Is There,10.0,(2010)
Sleep,10.0,(2023)
Body Count,10.0,(2023)
Bergamota,10.0,(2023)
Attack of the Corn Zombies,10.0,(2023)
Ticci-Toby,10.0,(2013)
Mark Oeffler Creates New Images for Dawna of the Darkness in Family Film Monster On,10.0,(2023 Video)
Grieving Process,10.0,(2019)
Ripples,10.0,(I) (2016)
The Rage Part II,10.0,(2023)
Campfire Tales,10.0,(2022 Video)
Frankenstein Walks Again,10.0,(1978 TV Short)
Esperanza,10.0,(II) (2023)
En los limites de lo inverosimil,10.0,(1996 Video)
Graham's Journal,10.0,(2006)
Happy Anniversary,10.0,(II) (2022)
Yesno,10.0,(2013)
 The Dead Files,10.0,(2011– )
 Petscop,10.0,(2017–2019)
 Petscop,10.0,(2017–2019)
 Petscop,10.0,(2017–2019)
 Life of Luxury,10.0,(2019– )
 Life of Luxury,10.0,(2019– )
 The Disciples of Jigsaw,10.0,(2022)
 The Disciples of Jigsaw,10.0,(2022)
 Life of Luxury,10.0,(2019– )
 Sam and Colby: The Attachment,10.0,(2022)
 The Walten Files,10.0,(2020– )
 The Dead Files,10.0,(2011– )
 Bridgewater,10.0,(2021– )
 The Mute Forest,10.0,(2023– )
 The Mute Forest,10.0,(2023– )
 The Mute Forest,10.0,(2023– )
 The Mute Forest,10.0,(2023– )
 Bridgewater,10.0,(2021– )
 Bridgewater,10.0,(2021– )
 Bridgewater,10.0,(2021– )
 Bridgewater,10.0,(2021– )
 Nang Nak Saphai Phra Khanong,10.0,(2023)
 Bridgewater,10.0,(2021– )
 Bridgewater,10.0,(2021– )
 Bridgewater,10.0,(2021– )
 Life of Luxury,10.0,(2019– )
 Iiihhh Serrreemm!,10.0,(2023)
 Eden,10.0,(2023)
 Horror Trip,10.0,(2015–2016)
 Scare Tactics,10.0,(2003–2013)
 Growing Up Creepie,10.0,(2006–2008)
