Name,Rating,Year
Shouting Silence,10.0,(2021)
Bergamota,10.0,(2023)
Script,10.0,(2022)
Attack of the Corn Zombies,10.0,(2023)
The Terrorist,10.0,(2020)
The Sleepwalkers,10.0,(2020)
The Thrill,10.0,(2020)
El ingeniero,10.0,(2022 Podcast Series)
reTribution,10.0,(2023)
Bloody Mary,10.0,(VI) (2021)
Curta Dicotomia,10.0,(2018)
Level,10.0,(2023)
Who is she: Short film,10.0,(2023)
Never Trust a Woman,10.0,(2008)
A Life for a Life,10.0,(I) (2013)
Adakaar,10.0,
Rutas del más allá: El documental,10.0,(2020)
Nocturnal,10.0,(2020)
Cold Maria,10.0,(2023)
The Raven,10.0,(1980)
En los limites de lo inverosimil,10.0,(1996 Video)
Sanity 2,10.0,(2021)
Bite Me!,10.0,(II) (2019)
Misinterpretation,10.0,(2021)
I Am Not That Kind of Girl,10.0,(2014)
Flowers for Autumn,10.0,(2023)
A Reason,10.0,(2010)
Intersección,10.0,(2008)
The Praetorian,10.0,(II) (2021)
The Man Who Thought He Was King,10.0,(2021)
Bound,10.0,(II) (2021)
Azazel,10.0,(2020)
Adn,10.0,(2015)
Unseen Abilities,10.0,(2009)
Faworaja,10.0,(2023)
The Withered Ghoul's Ceremony,10.0,(2021)
Shift,10.0,(II) (2020)
Disturbed,10.0,(I) (2021)
Anima,10.0,(I) (2020)
Hævnen,10.0,(2020)
Botswana,10.0,(2022)
Living Hell,10.0,(2015)
Sweet Rind,10.0,(2020)
Ansiktet til en morder,10.0,(2021)
Asesino de Testigos,10.0,(1997 Video)
Battle Buddy,10.0,(2020)
Inevitable,10.0,(I) (2016)
Magic Savior,10.0,(2022)
Whiskey Throttle,10.0,(2022)
Nico,10.0,(2016)
